368,336,100
304,336,100
304,240,100
240,240,100
240,368,100
144,368,100
144,432,100
176,432,100
176,496,100
144,496,100
144,560,100
208,560,100
208,496,100
240,496,100
240,464,100
304,464,100
304,496,100
336,496,100
368,496,100
368,528,100
432,528,100
432,496,100
496,496,100
496,464,100
560,464,100
560,496,100
592,496,100
592,560,100
656,560,100
656,496,100
624,496,100
624,432,100
656,432,100
656,368,100
560,368,100
560,112,100
656,112,100
656,48,100
496,48,100
496,112,100
432,112,100
432,176,100
304,176,100
304,400,100
240,400,100
240,112,100
144,112,100
144,48,100
304,48,100
304,112,100
368,112,100
368,176,100
496,176,100
496,240,100
832,240,100
